id,playername,score,coins,kills,damagedealt,dps,timestamp,game_time
910,rgrogp9,80,7304,90,5362,258,4/14/2022,3335
911,gdymockepa,783,9878,26,2017,648,3/25/2022,2762
912,cjanssenpb,72,5760,93,6044,869,3/23/2022,3371
913,efarnespc,504,6062,79,2377,702,5/29/2022,2020
914,fbrissonpd,139,2490,19,6561,940,7/23/2022,2178
915,hcalverleype,273,1590,95,1360,785,3/24/2022,1822
916,flonghornepf,897,3300,70,3416,667,12/30/2022,1334
917,rcrucepg,341,6007,87,6642,366,4/19/2022,1640
918,fcotesph,782,8094,34,3363,160,12/19/2022,1386
919,pbriskeypi,987,7310,46,299,149,10/14/2022,3003
920,aduropj,661,5258,75,1923,580,7/17/2022,3035
921,wculypk,81,8879,19,5026,495,11/6/2022,891
922,osnelpl,296,3329,7,4597,152,2/8/2022,78
923,hmachostiepm,115,9048,27,9384,879,1/13/2022,1957
924,psowreypn,567,4896,35,5805,602,7/11/2022,709
925,akirschpo,80,4924,54,9466,876,8/2/2022,83
926,gmatsonpp,73,7939,20,2650,793,12/5/2022,2508
927,rstretepq,170,7249,78,2282,578,2/5/2022,2317
928,cwicklenpr,979,9201,41,7917,129,10/11/2022,2753
929,sdunkertonps,420,5795,88,317,193,10/24/2022,195
930,gpotteridgept,433,4911,75,7899,664,5/12/2022,868
931,phuorticpu,385,440,46,6852,802,7/17/2022,1227
932,bjeggopv,522,4759,69,1469,673,3/29/2022,640
933,zpauelpw,401,6466,20,5236,573,5/15/2022,1823
934,vsedgwickpx,809,8256,73,9734,960,6/4/2022,2142
935,btaytpy,357,1242,19,151,140,6/23/2022,2393
936,tfilinkovpz,40,1636,26,7566,485,11/12/2022,310
937,bvaunq0,215,2313,71,331,785,7/15/2022,109
938,ekeitchq1,513,8041,85,9893,727,11/5/2022,596
939,mjirieckq2,58,1596,9,4964,641,5/17/2022,1786
940,bgarhamq3,946,1438,87,5777,932,6/11/2022,1293
941,ojesticoq4,97,9313,93,7186,496,10/16/2022,2740
942,eforanq5,44,3030,64,1085,170,4/19/2022,904
943,tthomblesonq6,219,6340,80,9099,279,6/24/2022,3469
944,slempelq7,748,803,42,9184,71,12/16/2022,2368
945,twankelq8,380,5849,36,6351,984,4/5/2022,899
946,bjozefowiczq9,395,3477,59,1531,724,11/15/2022,984
947,bboristonqa,785,2126,32,5083,534,4/22/2022,869
948,tilyasqb,622,3992,55,7418,267,7/15/2022,195
949,johingertyqc,310,980,60,9165,218,5/17/2022,2278
950,tmunningsqd,426,96,97,8137,643,4/24/2022,1057
951,jdomineyqe,110,1599,42,1535,542,4/6/2022,32
952,gveazeyqf,845,5017,52,984,337,12/27/2022,2187
953,smealeqg,145,4901,74,4704,70,8/21/2022,1708
954,asimonaitisqh,168,554,93,4463,466,9/29/2022,1832
955,mliftonqi,102,4137,51,3743,866,1/14/2022,1076
956,hberensqj,736,1698,77,923,544,7/21/2022,2344
957,wdelahayeqk,276,4392,68,4743,27,11/21/2022,1170
958,ccuerdaql,677,9692,67,1753,212,12/17/2022,2408
959,jyurkovqm,148,8525,17,712,42,9/10/2022,300
960,egibbesonqn,711,4426,40,8841,889,12/30/2022,565
961,mkaufmanqo,461,9986,78,1316,835,1/18/2022,2724
962,pstackbridgeqp,982,6929,54,7548,89,3/9/2022,3565
963,mfeldharkerqq,740,2366,19,524,971,9/2/2022,1297
964,ghydeqr,471,8856,83,6571,807,10/10/2022,2845
965,rstreatfieldqs,39,4009,59,6194,39,7/12/2022,1181
966,rdalmanqt,362,3392,33,9361,630,7/16/2022,804
967,hdaffornequ,247,6210,56,4632,734,12/19/2022,2558
968,cklambtqv,361,5956,95,3862,935,11/23/2022,2918
969,lfootittqw,192,6063,62,582,47,6/3/2022,870
970,ebartellqx,501,5546,47,9455,919,6/22/2022,811
971,shugganqy,652,6595,19,6957,996,4/22/2022,2563
972,tquinnetqz,156,2036,52,8305,844,12/25/2022,1011
973,wsterrickerr0,27,6315,72,9303,373,9/5/2022,1801
974,csweynsonr1,766,3450,25,1187,807,5/26/2022,68
975,vsheerer2,942,3437,18,8458,62,6/11/2022,2205
976,rnorthidger3,816,4337,38,8234,228,10/6/2022,189
977,kjollandsr4,929,3834,12,7132,812,12/10/2022,1230
978,mspurrr5,539,297,77,3672,52,4/30/2022,3073
979,dglasspoolr6,174,8986,70,5040,901,1/4/2022,1909
980,hfortunr7,56,9974,54,4157,399,1/6/2022,1567
981,lrountreer8,844,107,45,860,42,1/19/2022,1087
982,mcanasr9,129,7367,56,5637,673,10/30/2022,3128
983,hgerrellra,198,233,99,4334,541,9/12/2022,3398
984,jdysertrb,272,4892,17,9191,685,7/16/2022,49
985,cverrillsrc,683,2482,81,582,484,11/5/2022,1993
986,ofolkerrd,712,6358,59,4458,945,12/5/2022,182
987,sverseyre,556,5931,10,8780,690,4/8/2022,2178
988,ananellirf,998,3232,48,8514,492,8/22/2022,3038
989,gbriiginshawrg,47,1758,0,7588,623,9/22/2022,750
990,wjosowitzrh,977,9495,72,3102,260,5/12/2022,2307
991,tmccallamri,435,1739,29,7984,769,6/23/2022,2845
992,jcoppinsrj,7,6654,74,6525,82,9/21/2022,3228
993,neadenrk,662,6010,91,2971,602,8/30/2022,2654
994,fsirkettrl,790,9293,23,2759,174,6/28/2022,65
995,earzurm,32,4495,12,5274,722,3/22/2022,2082
996,aneilanrn,462,2327,85,5253,193,1/20/2022,1944
997,nhaldinro,311,3996,96,7802,314,6/9/2022,532
998,gkalvinrp,793,3431,34,435,169,3/24/2022,2937
999,hsycerq,559,3153,12,5458,100,10/23/2022,1565
1000,vcristoforettirr,193,3106,35,4663,202,9/21/2022,885
